profileId,title,competencies,hasGrowWithSap,consultants,description
0001330489,BCI Consulting SRL,1,0,21,Convergemos experiencia e innovación con performance y creatividad.
0001650311,Celeritech Mexico SAPI de CV,1,0,12,CeleriTech: Especialistas en migrar e implementar SAP S/4HANA
0000708379,"Link Technologies, S. A. P. I. de C.V.",1,0,9,Implementamos ERP SAP S/4HANA Cloud Public & Private Edition
0002530721,ESSENCE CONSULTORIA,1,0,7,Especialista em soluções de tecnologia e com DNA de alta performance.
0000036375,Gambit Consulting GmbH,3,1,59,Entdecken Sie das Potenzial von SAP und SAP S/4HANA 
0000657541,Codestone Group,3,0,37,SAP CUSTOMER SATISFACTION WINNER '23 - ERP│BTP│ Business Tech Services
0000892147,smahrt consulting AG,1,0,34,Wir sind HR - wir machen HR
0001207541,Consultoría Dextera de México,1,0,29,We are experts In SAP SuccessFactors Payroll and Talent Suite.
0001521018,HRST BRASIL TECNOLOGIA LTDA,1,0,6,Soluções SAP para gestão de Recursos Humanos
0000292243,"BizTech i Co., Ltd.",2,0,223,"BizTech I, a partner for the successful future of companies"
0000833050,Pearl Group,4,0,187,Your Business. Next Level.
0000713522,Phoron Consulting GmbH,3,0,95,"We think, advise and develop beyond ""go-live""."
0000985154,Protiviti Inc,5,0,82,19+ Year SAP Gold Partner and 7-times Partner of the Year!
0001503849,Golive Yazılım Hizmetleri A.Ş.,4,0,45,As a software company acknowledged as an experienced SAP partner
0001587334,Indus Novateur Software LLC,2,0,36,Dependable SAP Solution providing Gold Partner -  Indus Novateur.
0000741423,BIRLASOFT LIMITED,3,0,286,Enterprise to the Power of Digital 
0001177150,adesso SE,4,0,239,"Fullservice consulting company for SAP CX, SAP S/4HANA & SAP Analytics"
0001242442,PRIMUS Techsystems Private Limited,2,0,86,"RISE with SAP, Build innovative, intelligent enterprise applications!"
0001702203,Shanghai Elitesland Software System,3,1,62,立足中国，服务全球
0001143780,p78 (projekt0708 GmbH),2,0,58,projekt0708 GmbH is an innovative HR/IT-Service and Consulting Partner
0000730612,LM CONSULTING GmbH,1,0,19,We implement and support SAP HCM and SuccessFactors solutions
0001599677,Incospro,1,0,15,"#supplyunchained 
by Incospro - the procurement & supply chain experts"
0002305382,Systems Ltd,4,0,100,A True Systems Integrator with Consulting & Industry Expertise
0000852125,MOURI Tech,3,0,99,Making Digital Transformation thrive to Value creation.
0001810800,Acorel,2,0,49,Wij brengen een betere klantbeleving binnen handbereik.
0001590518,WCA Walldorf Consulting,2,1,46,A Global Company  Focus on  SAP Intelligent Enterprise Cloud Solutions
0000032857,CENIT AG,1,0,43,We empower sustainable digitalization!
0000897609,"Woongjin Co., Ltd.",1,0,28,Woongjin is conducting business through various IT projects.
0001405946,HRIZONS®,1,0,20,"HRIZONS®, an HR Cloud Company & SAP SuccessFactors partner since 2006"
0001406955,WMS MIDDLE EAST LLC,3,1,12,Your digital transformation partner 
0001507787,Tema Consulting SRL,1,0,6,Intelligent Spend Management specialist with 20 years of experience.
0000449205,NOVO Business Consultants AG,4,0,270,NOVO is a leading Swiss consulting and IT services company
0000479500,Wavestone,4,0,107,We are combining business with SAP expertise!
0001274250,MDSap Tech SA,3,1,67,Your Trusted Partner in Digital Transformation
0000318473,Createch,6,1,53,We help our clients raise their potential and achieve success.
0001507588,CLAP INTEGRATION,1,0,48,"Make a smooth, effective digital HR transition with CLAP Integration."
0000672351,Omnia Solution S.A.C.,4,0,40,Omnia Solution | Gold Partner SAP | 23 años digitalizando en país
0000879858,Perceptio S.A.S.,1,0,32,Expertos en potencializar tu inversión en plataformas SAP
0002562218,EXPERT (Global Experts for Business Services),3,0,28,"Innovate, Transform, Empower"
0001162867,dinext. AG,2,0,26,We create your digital tomorrow
0001663623,UNIVERS AP,3,0,26,UNIVERS AP vous ouvre la voie sur l'avenir de la digitalisation !
0002418933,"Ningbo UDC Software Co.,Ltd",1,0,10,"SAP合作伙伴,为企业提供整体信息化解决方案落地供应商                         
官方热线：400-8045-500"
0001077347,Oreka IT,3,0,129,Fortalecemos tu empresa implantando mejoras en sus procesos de gestión
0001166587,NETCONOMY,1,0,87,"NETCONOMY brings Digital Strategies to Life
"
0001707803,ABSIDE,3,0,69,ABSIDE: Tecnología y Talento al Servicio de tu Organización
0000521692,VASS,2,0,64,VASS - Leading Digital Transformation with SAP S/4HANA and SAP CX
0001106040,"Shenzhen Perfect Information Technology Co.,Ltd.",3,0,44,金牌合作伙伴，专注数字化转型，聚集化工、装备、高科技、生命科学，金融等行业。
0001308857,"ZEN consulting Co., Ltd.",2,0,42,"Once a Partner, Always a Partner."
0000195020,SRB Consulting Team GmbH,3,0,42,SRB - Wir optimieren SAP
0002023827,Digix Plus Srl,2,0,26,"Run Digital, Run Better... Run Digix"
0002028806,Experts Vision Consulting Company,3,0,23,EVC provides SAP solutions
0001768306,Spirit for Consultancy Services,1,0,21,Help clients optimize performance and create business value
0002032606,Grupo PHR,1,0,16,¡Lleva tu área de Capital Humano al siguiente nivel!
0002017799,NRS Consulting,3,1,15,"Transforming  Businesses through Innovation, Technology & Consulting."
0001604203,Bourne Digital,1,0,10,Bourne Digital is a digital agency for the SAP ecosystem.
0000853146,SI-Consulting Sp. z o.o.,3,0,120,Successful digital transformation at scale with human touch!
0000697034,Vision33 Inc,1,0,72,Vision33 - Your Business Partner for Success
0000012229,q.beyond AG,3,0,59,Digitalisierung beyond konventionell - SAP Service für den Mittelstand
0000850641,FPT IS Company Limited,4,0,54,"200+ Dự án được nghiệm thu;
1000+ Chuyên gia ERP"
0001388101,ABSTRACT S.R.L.,1,0,30,"Strategic and IT consulting 
"
0000773804,Process Technologies,2,0,24,We simplify business complexity.
0001630714,ASAR Digital,1,0,22,Leading the Way in SAP S/4HANA Cloud & Customer Experience Solutions
0000898051,ENAPSYS,1,0,22,The leading company in digital transformation
0001595563,INTECHPRO,2,0,20,Intechpro Gestão de Ativos e Projetos
0001253217,EngineBr,1,0,18,Pioneira no modelo de negócio de SAP as a Service SaaS
0001061875,Structum S.A.,1,0,16,Somos una empresa Colombiana con vocación SAP BTP
0000274938,Swisscom (Schweiz) AG,3,0,220,Swisscom SAP Services machen es möglich!
0002597278,LeverX,4,0,102,Innovate Today to Lead Tomorrow. Your Trusted SAP Strategic Partner
